"","x","y","color","pendown","type"
"302","132","-0.556087758","135","TRUE","red.activs"
"303","133","-0.601363896","135","TRUE","red.activs"
"304","134","0.193434479","135","TRUE","red.activs"
"305","135","-0.407667868","135","TRUE","red.activs"
"306","136","-0.502094959","135","TRUE","red.activs"
"307","137","-0.406287769","135","TRUE","red.activs"
"308","138","0.062312586","135","TRUE","red.activs"
"309","139","-0.052488222","135","TRUE","red.activs"
"310","140","-0.059278473","135","TRUE","red.activs"
"311","141","0.232100323","135","TRUE","red.activs"
"312","142","0.540822048","135","TRUE","red.activs"
"313","143","-0.045574467","135","TRUE","red.activs"
"314","144","0.063723248","135","TRUE","red.activs"
"315","145","-0.447939232","135","TRUE","red.activs"
"316","146","0.143694843","135","TRUE","red.activs"
"317","147","0.73774296","135","TRUE","red.activs"
"318","148","0.118137941","135","TRUE","red.activs"
"319","149","-0.157984934","135","TRUE","red.activs"
"320","150","-0.191596922","135","TRUE","red.activs"
"321","151","-0.500715446","135","TRUE","red.activs"
"322","152","-0.155172848","135","TRUE","red.activs"
"323","153","-0.031893612","135","TRUE","red.activs"
"324","154","-0.395111956","135","TRUE","red.activs"
"325","155","-0.231469836","135","TRUE","red.activs"
"326","156","0.040573358","135","TRUE","red.activs"
"327","157","-0.91785862","135","TRUE","red.activs"
"328","158","-0.578408283","135","TRUE","red.activs"
"329","159","-0.352983518","135","TRUE","red.activs"
"330","160","-1.032195329","135","TRUE","red.activs"
"331","161","-0.986218614","135","TRUE","red.activs"
"332","162","-0.409159178","135","TRUE","red.activs"
"333","163","-0.228697304","135","TRUE","red.activs"
"334","164","-0.458780569","135","TRUE","red.activs"
"335","165","-0.739596334","135","TRUE","red.activs"
"336","166","-0.048292804","135","TRUE","red.activs"
"337","167","0.200201091","135","TRUE","red.activs"
"338","168","-0.835062705","135","TRUE","red.activs"
"339","0","-0.981882861","125","TRUE","red.voters"
"340","1","0.166478534","125","TRUE","red.voters"
"341","2","-0.435261602","125","TRUE","red.voters"
"342","3","-1.134941936","125","TRUE","red.voters"
"343","4","-0.64734725","125","TRUE","red.voters"
"344","5","-0.841581822","125","TRUE","red.voters"
"345","6","-1.125214551","125","TRUE","red.voters"
"346","7","-1.180361182","125","TRUE","red.voters"
"347","8","-1.227868557","125","TRUE","red.voters"
"348","9","-0.874125749","125","TRUE","red.voters"
"349","10","-1.253365844","125","TRUE","red.voters"
"350","11","-1.06708774","125","TRUE","red.voters"
"351","12","-1.793668572","125","TRUE","red.voters"
"352","13","-1.016480433","125","TRUE","red.voters"
"353","14","-0.869658099","125","TRUE","red.voters"
"354","15","-1.2165108","125","TRUE","red.voters"
"355","16","-1.287500793","125","TRUE","red.voters"
"356","17","-1.535291766","125","TRUE","red.voters"
"357","18","-1.323925786","125","TRUE","red.voters"
"358","19","-1.40499802","125","TRUE","red.voters"
"359","20","-1.013483764","125","TRUE","red.voters"
"360","21","-1.226142829","125","TRUE","red.voters"
"361","22","-1.092814722","125","TRUE","red.voters"
"362","23","-1.38215122","125","TRUE","red.voters"
"363","24","-0.821574068","125","TRUE","red.voters"
"364","25","-1.086715397","125","TRUE","red.voters"
"365","26","-0.331648396","125","TRUE","red.voters"
"366","27","-0.879427327","125","TRUE","red.voters"
"367","28","-0.666481049","125","TRUE","red.voters"
"368","29","-0.63925492","125","TRUE","red.voters"
"369","30","-0.803124916","125","TRUE","red.voters"
"370","31","-0.755690717","125","TRUE","red.voters"
"371","32","-0.868447037","125","TRUE","red.voters"
"372","33","-0.223452452","125","TRUE","red.voters"
"373","34","0.027222078","125","TRUE","red.voters"
"374","35","-0.745977908","125","TRUE","red.voters"
"375","36","-0.147827602","125","TRUE","red.voters"
"376","37","-0.547376496","125","TRUE","red.voters"
"377","38","-0.242726751","125","TRUE","red.voters"
"378","39","0.264742826","125","TRUE","red.voters"
"379","40","-0.155519133","125","TRUE","red.voters"
"380","41","0.138533378","125","TRUE","red.voters"
"381","42","-0.011976807","125","TRUE","red.voters"
"382","43","-0.118331644","125","TRUE","red.voters"
"383","44","-0.106599368","125","TRUE","red.voters"
"384","45","-0.609603185","125","TRUE","red.voters"
"385","46","0.064375999","125","TRUE","red.voters"
"386","47","0.246956213","125","TRUE","red.voters"
"387","48","0.362877263","125","TRUE","red.voters"
"388","49","0.228518877","125","TRUE","red.voters"
"389","50","0.205225395","125","TRUE","red.voters"
"390","51","0.031434688","125","TRUE","red.voters"
"391","52","-0.071576228","125","TRUE","red.voters"
"392","53","0.339749546","125","TRUE","red.voters"
"393","54","0.516435707","125","TRUE","red.voters"
"394","55","0.165113283","125","TRUE","red.voters"
"395","56","0.110540024","125","TRUE","red.voters"
"396","57","0.045624941","125","TRUE","red.voters"
"397","58","-0.275681144","125","TRUE","red.voters"
"398","59","-0.264832268","125","TRUE","red.voters"
"399","60","-0.193220062","125","TRUE","red.voters"
"400","61","-0.334676497","125","TRUE","red.voters"
"401","62","-0.543278378","125","TRUE","red.voters"
"402","63","-0.191360055","125","TRUE","red.voters"
